,Bed_number,Bath_number,Square_foot,Price,Expected Price,Price Percentage Increase,Address,Latitude,Longitude
97,3.0,2.0,1200.0,3000.0,3240.5467341784924,0.925,"98 Edward St , Medford, MA 02155",42.4007134,-71.10316355061667
98,4.0,1.5,1800.0,3800.0,4095.704260721261,0.927,"34 Bay State Ave , Somerville, MA 02144",42.399429100000006,-71.11488044103496
99,1.0,1.0,920.0,2900.0,1466.7276008520355,1.977,"30 Holton St , Medford, MA 02155",42.41841185,-71.13314854999999
100,5.0,2.0,1600.0,4900.0,4792.771961242196,1.022,"65 Conwell Ave , Somerville, MA 02144",42.408008800000005,-71.12766515
101,3.0,1.0,1200.0,3300.0,2951.9498163361063,1.117,"68 Kenmere Rd , Medford, MA 02155",42.41719005,-71.08739
102,2.0,1.0,920.0,2500.0,2131.1685284178325,1.173,"15 5th St , Medford, MA 02155",44.174595259812634,-93.24012269318038
103,3.0,2.0,1250.0,7000.0,3268.4646556700063,2.141,"14 Renfrew St, Medford, MA 02155",42.40828775,-71.1117999538091
104,3.0,2.0,1250.0,3900.0,3268.4646556700063,1.193,"14 Renfrew St, Medford, MA 02155",42.40828775,-71.1117999538091
105,4.0,1.0,1900.0,4400.0,4007.241644783095,1.098,"27 Princeton St , Medford, MA 02155",42.406104,-71.109744
106,5.0,2.0,1999.0,6000.0,5015.556974744475,1.196,"217 Boston Ave , Medford, MA 02155",42.414829999999995,-71.12718724999999
107,2.0,2.0,1000.0,3200.0,2464.4341206466406,1.298,"26 Bradlee Rd , Medford, MA 02155",42.41945435494936,-71.11043
108,5.0,2.0,1895.0,5500.0,4957.487698042127,1.109,"22 Harris Rd , Medford, MA 02155",42.4141615,-71.12770359999999
109,3.0,1.0,1140.0,3450.0,2918.44831054629,1.182,"7 Greenleaf Ave , Medford, MA 02155",42.41233885,-71.12076424542403
110,2.0,1.0,920.0,3400.0,2131.1685284178325,1.595,"430 Main St , Medford, MA 02155",42.403247449999995,-71.1067920491202
111,3.0,1.0,1300.0,3300.0,3007.7856593191336,1.097,"254 Harvard St , Medford, MA 02155",42.40359425,-71.11117002759764
112,2.0,1.5,1250.0,2950.0,2459.7252691830163,1.199,"45 Court St, Medford, MA 02155",42.42237865,-71.09977058887489
113,3.0,1.0,1200.0,3000.0,2951.9498163361063,1.016,"43 Orchard St, Medford, MA 02155",42.41398135,-71.12269475
114,3.0,2.0,1740.0,4250.0,3542.060286286841,1.199,"36 Hillsboro Rd, Medford, MA 02155",42.42551765,-71.08996441498435
115,3.0,1.0,999.0,3600.0,2839.719771940221,1.267,"112 College Ave , Medford, MA 02155",42.409305756458096,-71.11466062579515
116,2.0,1.5,750.0,3000.0,2180.5460542678793,1.375,"29 Capen St , Medford, MA 02155",42.411356749999996,-71.12375043797928
117,4.0,1.0,1200.0,4600.0,3616.390743901903,1.271,"82 Quincy St , Medford, MA 02155",42.41044,-71.12707135180537
118,1.0,1.5,750.0,3000.0,1516.1051267020823,1.978,"1 S Street Ct , Medford, MA 02155",42.417009,-71.112338
119,5.0,5.5,2200.0,7995.0,6137.876231588713,1.302,"76 Stanley Ave , Medford, MA 02155",42.40984217037599,-71.11287634166116
120,5.0,2.0,2200.0,4225.0,5127.787019140361,0.823,"223 Boston Ave , Medford, MA 02155",42.414771571428574,-71.12686385714287
121,5.0,2.0,2200.0,4225.0,5127.787019140361,0.823,"221 Boston Ave , Medford, MA 02155",42.414703349999996,-71.12693410132505
122,5.0,2.0,2200.0,4225.0,5127.787019140361,0.823,"229 Boston Ave , Medford, MA 02155",42.4144579,-71.12659230193842
124,2.0,2.0,950.0,2700.0,2436.516199155127,1.108,"47 Orchard St , Medford, MA 02155",42.4141451,-71.12298448644859
125,5.0,4.5,2100.0,5300.0,5793.443470763299,0.914,"476 Fulton St, Medford, MA 02155",42.43545847758269,-71.0965652169319
126,1.0,2.0,800.0,3000.0,1688.3215071147893,1.776,"21 Bradlee Rd , Medford, MA 02155",42.41938625,-71.10994155124023
127,6.0,1.5,2500.0,6600.0,5815.437016734047,1.134,"252 Harvard St, Medford, MA 02155",42.40371966666667,-71.11128233333334
128,5.0,2.0,2200.0,6000.0,5127.787019140361,1.17,"22 Harris Rd , Medford, MA 02155",42.4141615,-71.12770359999999
129,2.0,1.0,950.0,3400.0,2147.9192813127406,1.582,"430 Main St , Medford, MA 02155",42.403247449999995,-71.1067920491202
130,6.0,5.5,2500.0,6975.0,6969.824688103593,1.0,"5 Malvern Terrace , Medford, MA 02155",42.41002335,-71.10747230000001
131,3.0,1.0,1200.0,3300.0,2951.9498163361063,1.117,"254 Harvard St , Medford, MA 02155",42.40359425,-71.11117002759764
132,6.0,1.5,2200.0,6600.0,5647.929487784964,1.168,"254 Harvard St , Medford, MA 02155",42.40359425,-71.11117002759764
133,3.0,1.0,1134.0,3875.0,2915.098159967308,1.329,"70 Billings Ave, Medford, MA 02155",42.408269000000004,-71.1061022
134,2.0,1.0,800.0,2500.0,2064.165516838199,1.211,"15 5th St , Medford, MA 02155",44.174595259812634,-93.24012269318038
135,4.0,2.0,1300.0,3875.0,3960.8235047273174,0.978,"9 Medford St , Medford, MA 02155",42.401401050000004,-71.1064899537148
136,4.0,2.0,1300.0,3875.0,3960.8235047273174,0.978,"11 Medford St , Medford, MA 02155",42.401401050000004,-71.1064899537148
137,4.0,2.0,1300.0,3875.0,3960.8235047273174,0.978,"13 Medford St , Medford, MA 02155",42.4013022,-71.10642010683563
138,4.0,2.0,1800.0,4225.0,4240.002719642454,0.996,"124 Bonner Ave , Medford, MA 02155",42.40513383644513,-71.10268564698171
139,4.0,2.0,1800.0,4225.0,4240.002719642454,0.996,"128 Bonner Ave , Medford, MA 02155",42.4052505,-71.10257648182409
140,5.0,5.5,3000.0,7995.0,6584.562975452933,1.214,"70 Stanley Ave , Medford, MA 02155",42.4097576,-71.11255370177545
